producto,categoria,proveedor,cantidad,precio_unitario,descuento,impuesto,fecha,canal_venta,pais,moneda
Tablet Plus,Oficina,FashionCorp,1,726.35,88.82,152.53,2024-07-27,Online,Alemania,EUR
Casco Bicicleta,Video,MegaStore,1,721.34,96.2,151.48,2024-08-01,Online,Italia,EUR
Refrigerador Mini,Audio,ProGear,3,1870.64,170.42,392.83,2024-01-28,Online,Italia,EUR
TV 55,Oficina,ProGear,4,940.31,130.13,197.47,2024-10-28,Tienda,Alemania,EUR
Gafas Sol,Video,HomePlus,4,844.78,96.01,177.4,2024-05-28,Distribuidor,Portugal,EUR
Smartwatch,Oficina,LogiTech,5,409.66,41.89,86.03,2024-03-24,Online,Francia,EUR
Auriculares Bluetooth,Video,MegaStore,4,388.51,22.65,81.59,2024-11-28,Online,Alemania,EUR
Pelota Fitness,Accesorios,HomePlus,4,1246.98,38.97,261.87,2024-11-18,Tienda,Portugal,EUR
Monitor 27,Hogar,SportWorld,4,288.81,38.02,60.65,2024-08-21,Tienda,España,EUR
Pelota Fitness,Accesorios,LogiTech,1,206.33,21.9,43.33,2024-11-10,Distribuidor,España,EUR
Pantalón Trekking,Moda,MegaStore,5,1388.81,47.05,291.65,2024-09-21,Distribuidor,Alemania,EUR
Ventilador Turbo,Accesorios,FashionCorp,3,487.56,27.25,102.39,2024-05-20,Distribuidor,Alemania,EUR
Teclado Mecánico,Video,Distribuciones Europa,5,357.98,50.84,75.18,2024-09-08,Online,España,EUR
Smartphone Mini,Deportes,MegaStore,1,950.0,10.76,199.5,2024-05-30,Distribuidor,Italia,EUR
Smartwatch,Electrónica,GlobalTech,1,1353.61,41.52,284.26,2024-10-04,Online,Portugal,EUR
TV 65,Accesorios,MegaStore,1,1847.35,20.23,387.94,2024-01-09,Distribuidor,Francia,EUR
Lámpara LED,Oficina,MegaStore,2,673.61,62.04,141.46,2024-11-06,Tienda,España,EUR
Gafas Sol,Deportes,HomePlus,3,230.59,8.64,48.42,2024-01-02,Distribuidor,Portugal,EUR
Impresora Laser,Electrónica,LogiTech,1,1741.68,146.99,365.75,2024-12-01,Online,Portugal,EUR
Teclado Mecánico,Deportes,MegaStore,1,1033.31,12.59,217.0,2024-01-02,Online,Francia,EUR
Laptop Pro,Video,Distribuciones Europa,2,753.0,30.79,158.13,2024-04-14,Tienda,Portugal,EUR
Webcam FullHD,Hogar,MegaStore,5,228.22,14.65,47.93,2024-08-22,Tienda,Francia,EUR
Barra de Sonido,Moda,ProGear,5,1019.86,99.5,214.17,2024-12-05,Tienda,España,EUR
Monitor 32,Moda,HomePlus,3,1099.89,45.99,230.98,2024-10-10,Online,Alemania,EUR
Laptop Air,Moda,ElectroMax,2,1254.44,100.09,263.43,2024-09-04,Tienda,Alemania,EUR
Webcam FullHD,Accesorios,TechCorp,5,361.5,11.62,75.91,2024-02-03,Online,Francia,EUR
